City,Country,Region,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Krakow,Poland,Europe,"","","","","","","","","","","","","",2,""
Lodz,Poland,Europe,"","","","","","","","","","","","","",7,""
Warsaw,Poland,Europe,"","",37,36,37,25,33,22,29,25,18,20,8,9,""
Lisbon,Portugal,Europe,11,10,14,14,12,9,4,6,5,13,10,7,11,"",""
Doha,Qatar,Asia,"","","","",5,4,"","","","","","","","",""
Busan,Republic of Korea,Asia,"","","","","","","","",28,24,23,20,19,"",""
Inchon,Republic of Korea,Asia,"","","","","","","","",25,21,13,16,15,"",""
Seoul,Republic of Korea,Asia,"","","","","","","","",83,67,49,57,67,"",""
BALTI,Republic of Moldova,Europe,"","","","","","","","","","","",4,"","",""
Cahul,Republic of Moldova,Europe,"","","","","","","","","","","",4,"","",""
Chishinau,Republic of Moldova,Europe,"",73,57,56,51,33,39,32,31,38,25,18,"","",""
BUCHAREST,Romania,Europe,"","",27,25,22,17,20,22,17,21,13,21,17,"",""
Krasnodar,Russian Federation,Europe,"","","","","","","532,5277199","595,9975935","487,6343947",542,"",285,410,"",""
Krasnodar Krai,Russian Federation,Europe,"","","","","","","","","","",246,"","","",""
Moscow,Russian Federation,Europe,"","","","","","","","","","","","","",425,""
Moscow,Russian Federation,Europe,"","1361,4425","1143,492276","1144,985085","938,9773386","774,5685538","648,7580059","653,3053751","665,431693",548,544,575,463,648,""
Saint Petersburg,Russian Federation,Europe,"","","","","","","228,9051382","191,4235951","179,3759563",197,211,171,242,259,""
Basseterre,Saint Kitts and Nevis,Americas,"","",5,4,8,8,12,6,17,"","","","","",""
CASTRIES,Saint Lucia,Americas,"","","","",11,11,4,5,5,5,"","","","",""
Sao Tome,Sao Tome and Principe,Africa,"","","",2,2,2,3,"","","","","","","",""
Makkah al-Mukarramah,Saudi Arabia,Asia,"","","","","","","","","","","","",55,"",""
Belgrade,Serbia,Europe,"","",48,50,50,40,26,22,37,22,35,26,32,16,""
Nis,Serbia,Europe,"","","","","","",16,11,11,11,8,7,7,7,""
Novi Sad,Serbia,Europe,"","","","","","",6,7,6,8,10,11,10,12,""
Freetown,Sierra Leone,Africa,"","","","",52,72,"","","","","","","","",""
Singapore,Singapore,Asia,"","",21,17,18,27,20,19,16,11,"","","","",""
Bratislava,Slovakia,Europe,17,18,11,15,16,10,9,8,14,12,9,11,15,"",""
Kosice,Slovakia,Europe,"","","","","","","","","","","",6,4,"",""
Presov,Slovakia,Europe,"","","","","","","","","","","",11,0,"",""
Celje,Slovenia,Europe,"","","","","","","","","","",1,0,1,1,""
Ljubljana,Slovenia,Europe,"",7,1,1,3,0,1,7,4,2,0,3,9,1,""
Maribor,Slovenia,Europe,"","","","","","","","","","",0,1,0,2,""
Honiara,Solomon Islands,Oceania,"",2,3,12,19,11,"","","","","","","","",""
Cape Town,South Africa,Africa,"","",1797,2016,2018,"","","","","","","","","",""
Barcelona,Spain,Europe,"","","","","","","","","","","",14,11,11,""
Madrid,Spain,Europe,"","",36,37,34,39,32,28,21,28,22,18,14,19,""
Valencia,Spain,Europe,"","","","","","","","","","","",4,6,6,""
Colombo,Sri Lanka,Asia,"","","","","","","","","","","","","","",19
Colombo,Sri Lanka,Asia,"","","","","",53,30,24,26,24,16,21,22,19,""
Dehiwala/Mtlavinia,Sri Lanka,Asia,"","","","","","","","","","","","","","",3
Dehiwala-Mt.Lavinia,Sri Lanka,Asia,"","","","","","","","","","",5,8,5,3,""
Moratuwa,Sri Lanka,Asia,"","","","","","","","","","",1,2,3,1,4
Hebron,State of Palestine,Asia,"","",17,"","","","",12,2,7,"","","","",""
Khartoum,Sudan,Africa,"","","","","",263,"","","","","","","","",""
Basel,Switzerland,Europe,"","","","","","",6,1,1,3,1,3,1,0,3
Geneva,Switzerland,Europe,"","","","","","",6,2,5,0,3,3,1,2,2
Zurich,Switzerland,Europe,"","","","","","",4,11,1,2,0,2,2,4,2
Aleppo,Syrian Arab Republic,Asia,"","","","",155,131,"","","","","","","","",""
Dushanbe,Tajikistan,Asia,"",52,38,29,26,19,19,24,23,"","","","","",""
Bangkok,Thailand,Asia,"","",311,327,283,252,225,219,163,199,187,224,154,"",""
Skopje,The former Yugoslav Republic of Macedonia,Europe,"","","",19,21,13,12,14,11,8,8,10,"","",""
Dili,Timor-Leste,Asia,"","","","","","","",17,"","","","","","",""
Nuku'alofa,Tonga,Oceania,"","",4,8,1,3,4,1,2,1,"","","","",""
Port of Spain,Trinidad and Tobago,Americas,"",77,117,99,86,164,128,93,94,104,122,81,87,"",""
San Fernando,Trinidad and Tobago,Americas,"","","","","","",8,13,7,8,10,10,11,"",""
Istanbul,Turkey,Asia,842,854,923,842,565,490,574,408,400,391,"","","","",""
Ashkhabad,Turkmenistan,Asia,"","",33,33,"","","","","","","","","","",""
Kampala,Uganda,Africa,"","","","","",401,459,360,425,304,248,282,"","",""
Kiev,Ukraine,Europe,"",139,129,129,99,102,118,89,"","","","","","",""
Dubai,United Arab Emirates,Asia,"","",25,20,"","","",25,16,22,22,19,23,"",""
London,United Kingdom (England and Wales),Europe,"",195,177,160,161,153,118,134,100,109,108,102,109,"",""
BELFAST,United Kingdom (Northern Ireland),Europe,8,6,13,11,6,4,7,9,3,6,6,7,9,8,""
Dundee,United Kingdom (Scotland),Europe,"","","","","","","","","","",1,1,3,4,""
Edinburgh,United Kingdom (Scotland),Europe,"","","","","","","","","","",9,7,1,4,""
Glasgow,United Kingdom (Scotland),Europe,"",23,31,33,31,24,20,25,16,18,18,14,15,12,""
DAR ES SALAAM,United Republic of Tanzania,Africa,"","","","","","","",475,465,341,269,255,167,"",""
MBEYA,United Republic of Tanzania,Africa,"","","","","","","","",349,297,308,266,305,"",""
Mwanza,United Republic of Tanzania,Africa,"","","","","","","",309,319,297,331,287,339,"",""
Chicago,United States of America,Americas,"","","","","","","",432,431,500,414,411,478,765,""
Los Angeles,United States of America,Americas,"","","","","","","",293,297,299,251,260,282,293,""
New York City,United States of America,Americas,597,570,539,596,496,523,471,536,515,419,335,333,352,335,""
CIUDAD DE LA COSTA,Uruguay,Americas,"","","","","","","","","","","","",4,8,""
CIUDAD DE SALTO,Uruguay,Americas,"","","","","","","","","","","","",8,7,""
Montevideo,Uruguay,Americas,"","","",90,82,107,110,107,112,155,163,153,169,146,""
Caracas,Venezuela (Bolivarian Republic of),Americas,"","",1926,2218,2710,2653,2550,"","","","","","","",""
Sana'a,Yemen,Asia,"","",96,102,93,81,83,"","","","","","","",""
Lusaka,Zambia,Africa,"","",121,129,162,46,142,121,"","","","","","",""
