DeSO.1,Kon,UtlBakgrund,values,Year
0580C1010,Kvinnor,Svensk,1026,2019
0580C1010,Kvinnor,Utländsk,184,2019
0580C1010,Män,Svensk,1021,2019
0580C1010,Män,Utländsk,175,2019
0580C1010,Totalt,Svensk,2047,2019
0580C1010,Totalt,Utländsk,359,2019
0580C1020,Kvinnor,Svensk,997,2019
0580C1020,Kvinnor,Utländsk,169,2019
0580C1020,Män,Svensk,974,2019
0580C1020,Män,Utländsk,157,2019
0580C1020,Totalt,Svensk,1971,2019
0580C1020,Totalt,Utländsk,326,2019
0580C1030,Kvinnor,Svensk,640,2019
0580C1030,Kvinnor,Utländsk,111,2019
0580C1030,Män,Svensk,585,2019
0580C1030,Män,Utländsk,118,2019
0580C1030,Totalt,Svensk,1225,2019
0580C1030,Totalt,Utländsk,229,2019
0580C1040,Kvinnor,Svensk,655,2019
0580C1040,Kvinnor,Utländsk,68,2019
0580C1040,Män,Svensk,541,2019
0580C1040,Män,Utländsk,77,2019
0580C1040,Totalt,Svensk,1196,2019
0580C1040,Totalt,Utländsk,145,2019
0580C1050,Kvinnor,Svensk,764,2019
0580C1050,Kvinnor,Utländsk,126,2019
0580C1050,Män,Svensk,786,2019
0580C1050,Män,Utländsk,124,2019
0580C1050,Totalt,Svensk,1550,2019
0580C1050,Totalt,Utländsk,250,2019
0580C1060,Kvinnor,Svensk,440,2019
0580C1060,Kvinnor,Utländsk,60,2019
0580C1060,Män,Svensk,477,2019
0580C1060,Män,Utländsk,57,2019
0580C1060,Totalt,Svensk,917,2019
0580C1060,Totalt,Utländsk,117,2019
0580C1070,Kvinnor,Svensk,695,2019
0580C1070,Kvinnor,Utländsk,104,2019
0580C1070,Män,Svensk,623,2019
0580C1070,Män,Utländsk,89,2019
0580C1070,Totalt,Svensk,1318,2019
0580C1070,Totalt,Utländsk,193,2019
0580C1080,Kvinnor,Svensk,718,2019
0580C1080,Kvinnor,Utländsk,92,2019
0580C1080,Män,Svensk,730,2019
0580C1080,Män,Utländsk,77,2019
0580C1080,Totalt,Svensk,1448,2019
0580C1080,Totalt,Utländsk,169,2019
0580C1090,Kvinnor,Svensk,557,2019
0580C1090,Kvinnor,Utländsk,273,2019
0580C1090,Män,Svensk,602,2019
0580C1090,Män,Utländsk,288,2019
0580C1090,Totalt,Svensk,1159,2019
0580C1090,Totalt,Utländsk,561,2019
0580C1100,Kvinnor,Svensk,627,2019
0580C1100,Kvinnor,Utländsk,55,2019
0580C1100,Män,Svensk,634,2019
0580C1100,Män,Utländsk,63,2019
0580C1100,Totalt,Svensk,1261,2019
0580C1100,Totalt,Utländsk,118,2019
0580C1110,Kvinnor,Svensk,857,2019
0580C1110,Kvinnor,Utländsk,372,2019
0580C1110,Män,Svensk,884,2019
0580C1110,Män,Utländsk,425,2019
0580C1110,Totalt,Svensk,1741,2019
0580C1110,Totalt,Utländsk,797,2019
0580C1120,Kvinnor,Svensk,741,2019
0580C1120,Kvinnor,Utländsk,89,2019
0580C1120,Män,Svensk,678,2019
0580C1120,Män,Utländsk,81,2019
0580C1120,Totalt,Svensk,1419,2019
0580C1120,Totalt,Utländsk,170,2019
0580C1130,Kvinnor,Svensk,701,2019
0580C1130,Kvinnor,Utländsk,174,2019
0580C1130,Män,Svensk,698,2019
0580C1130,Män,Utländsk,160,2019
0580C1130,Totalt,Svensk,1399,2019
0580C1130,Totalt,Utländsk,334,2019
0580C1140,Kvinnor,Svensk,758,2019
0580C1140,Kvinnor,Utländsk,56,2019
0580C1140,Män,Svensk,793,2019
0580C1140,Män,Utländsk,69,2019
0580C1140,Totalt,Svensk,1551,2019
