DeSO.1,Kon,UtlBakgrund,values,Year
0117C1150,Kvinnor,Svensk,260,2019
0117C1150,Kvinnor,Utländsk,112,2019
0117C1150,Män,Svensk,307,2019
0117C1150,Män,Utländsk,163,2019
0117C1150,Totalt,Svensk,567,2019
0117C1150,Totalt,Utländsk,275,2019
0117C1160,Kvinnor,Svensk,813,2019
0117C1160,Kvinnor,Utländsk,276,2019
0117C1160,Män,Svensk,893,2019
0117C1160,Män,Utländsk,257,2019
0117C1160,Totalt,Svensk,1706,2019
0117C1160,Totalt,Utländsk,533,2019
0117C1170,Kvinnor,Svensk,804,2019
0117C1170,Kvinnor,Utländsk,167,2019
0117C1170,Män,Svensk,833,2019
0117C1170,Män,Utländsk,179,2019
0117C1170,Totalt,Svensk,1637,2019
0117C1170,Totalt,Utländsk,346,2019
0117C1180,Kvinnor,Svensk,486,2019
0117C1180,Kvinnor,Utländsk,142,2019
0117C1180,Män,Svensk,533,2019
0117C1180,Män,Utländsk,148,2019
0117C1180,Totalt,Svensk,1019,2019
0117C1180,Totalt,Utländsk,290,2019
0117C1190,Kvinnor,Svensk,714,2019
0117C1190,Kvinnor,Utländsk,170,2019
0117C1190,Män,Svensk,685,2019
0117C1190,Män,Utländsk,180,2019
0117C1190,Totalt,Svensk,1399,2019
0117C1190,Totalt,Utländsk,350,2019
0117C1200,Kvinnor,Svensk,918,2019
0117C1200,Kvinnor,Utländsk,200,2019
0117C1200,Män,Svensk,904,2019
0117C1200,Män,Utländsk,177,2019
0117C1200,Totalt,Svensk,1822,2019
0117C1200,Totalt,Utländsk,377,2019
0120A0010,Kvinnor,Svensk,868,2019
0120A0010,Kvinnor,Utländsk,138,2019
0120A0010,Män,Svensk,1072,2019
0120A0010,Män,Utländsk,146,2019
0120A0010,Totalt,Svensk,1940,2019
0120A0010,Totalt,Utländsk,284,2019
0120C1010,Kvinnor,Svensk,769,2019
0120C1010,Kvinnor,Utländsk,132,2019
0120C1010,Män,Svensk,797,2019
0120C1010,Män,Utländsk,152,2019
0120C1010,Totalt,Svensk,1566,2019
0120C1010,Totalt,Utländsk,284,2019
0120C1020,Kvinnor,Svensk,654,2019
0120C1020,Kvinnor,Utländsk,144,2019
0120C1020,Män,Svensk,772,2019
0120C1020,Män,Utländsk,140,2019
0120C1020,Totalt,Svensk,1426,2019
0120C1020,Totalt,Utländsk,284,2019
0120C1030,Kvinnor,Svensk,797,2019
0120C1030,Kvinnor,Utländsk,99,2019
0120C1030,Män,Svensk,860,2019
0120C1030,Män,Utländsk,98,2019
0120C1030,Totalt,Svensk,1657,2019
0120C1030,Totalt,Utländsk,197,2019
0120C1040,Kvinnor,Svensk,935,2019
0120C1040,Kvinnor,Utländsk,176,2019
0120C1040,Män,Svensk,949,2019
0120C1040,Män,Utländsk,223,2019
0120C1040,Totalt,Svensk,1884,2019
0120C1040,Totalt,Utländsk,399,2019
0120C1050,Kvinnor,Svensk,608,2019
0120C1050,Kvinnor,Utländsk,184,2019
0120C1050,Män,Svensk,669,2019
0120C1050,Män,Utländsk,202,2019
0120C1050,Totalt,Svensk,1277,2019
0120C1050,Totalt,Utländsk,386,2019
0120C1060,Kvinnor,Svensk,854,2019
